Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
Dr. Sunil Kumar S,"MBBS, MD - General Medicine, DM - Cardiology, Fellowship In Interventional  Cardiology",18 Years Experience Overall  (9 years as specialist),Cardiologist,"Hebbal, Bangalore",100%,(44 votes),₹1000
Dr. K P Srihari Das,"MBBS, MD - General Medicine, DM - Cardiology",28 Years Experience Overall  (18 years as specialist),Cardiologist,"Jayanagar 9 Block, Bangalore",98%,(61 votes),₹750
Dr. Abhijit Vilas Kulkarni,"MBBS, DM - Cardiology, MD - General Medicine",20 Years Experience Overall  (11 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",97%,(32 votes),₹1000
Dr. Venkatesh S,"MBBS, MD - Medicine, DM - Cardiology",28 Years Experience Overall  (19 years as specialist),Cardiologist,"JP Nagar, Bangalore",97%,(35 votes),₹950
Dr. C.M Nagesh,"MBBS, MD - General Medicine, DM - Cardiology",23 Years Experience Overall  (13 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",100%,(13 votes),₹1000
Dr. Sanjay Bhat,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology",15 Years Experience Overall  (13 years as specialist),Cardiologist,"Hebbal, Bangalore",83%,(54 votes),₹900
Dr. Girish B Navasundi,"MBBS, MD - General Medicine, DNB - Cardiology",24 Years Experience Overall  (16 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",86%,(28 votes),₹1000
Dr. Venkatesh T K,"MBBS, MD - General Medicine, DNB - Cardiology",36 Years Experience Overall  (12 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",0,0,₹1000
Dr. Ranjan Shetty,"MBBS, MD - Medicine, DM - Cardiology",20 Years Experience Overall  (14 years as specialist),Cardiologist,"Old Airport Road, Bangalore",92%,(85 votes),₹900
Dr. Vithal Bagi,"MBBS, MD - General Medicine, DM - Cardiology",18 Years Experience Overall  (8 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",0,0,₹1000
Dr. Ravindranath Reddy D.R,"MBBS, MD - General Medicine, DM - Cardiology",16 Years Experience Overall,Cardiologist,"Kengeri, Bangalore",100%,(34 votes),₹800
Dr. Pradeep Kumar D,"MD - Pediatrics, MBBS, DM - Cardiology",15 Years Experience Overall,Cardiologist,"Hebbal, Bangalore",100%,(41 votes),₹900
Dr. R.S. Venkatesulu,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (17 years as specialist),Cardiologist,"Hebbal, Bangalore",67%,(12 votes),₹900
Dr. Kumar Kenchappa,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (6 years as specialist),Cardiologist,"Hebbal, Bangalore",98%,(63 votes),₹1000
Dr. K B Prasad,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall,Cardiologist,"Bannerghatta Road, Bangalore",0,0,₹1000
Dr. S. S. Iyengar,"MBBS, MD - General Medicine, DM - Cardiology,  FRCP",53 Years Experience Overall  (46 years as specialist),Cardiologist,"Old Airport Road, Bangalore",0,0,₹900
Dr. Lakshmikanth P,"MBBS, MD - General Medicine, DM - Cardiology",16 Years Experience Overall  (8 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",0,0,₹1000
Dr. Ganesh Nallur Shivu,"MBBS, PhD - Cardiology, MRCP (UK)",21 Years Experience Overall  (9 years as specialist),Cardiologist,"Electronics City, Bangalore",96%,(23 votes),₹700
Dr. Gopi Aniyathodiyil,"MBBS, MD - General Medicine, DM - Cardiology",34 Years Experience Overall  (27 years as specialist),Cardiologist,"Cunningham Road, Bangalore",97%,(36 votes),₹700
Dr. Devananda N.S,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",31 Years Experience Overall  (22 years as specialist),Cardiologist,"Old Airport Road, Bangalore",86%,(14 votes),₹900
Dr. Anand Shenoy,"MBBS, MD - General Medicine, DM - Cardiology, FSCAI",22 Years Experience Overall  (16 years as specialist),Cardiologist,"Old Airport Road, Bangalore",64%,(39 votes),₹900
Dr. Keshav R,"MD - General Medicine, DNB - Cardiology, MBBS",34 Years Experience Overall  (30 years as specialist),Cardiologist,"Cunningham Road, Bangalore",97%,(59 votes),₹700
Dr. Ashwin M Daware,"MBBS, MD - General Medicine, DNB - Cardiology",22 Years Experience Overall  (13 years as specialist),Cardiologist,"Whitefield, Bangalore",90%,(181 votes),₹700
Dr. Sridhara N,"MBBS, MD - General Medicine, DM - Cardiology",26 Years Experience Overall  (17 years as specialist),Cardiologist,"Rajajinagar, Bangalore",94%,(50 votes),₹630
Dr. G Vivek,"DM - Cardiology, MD - General Medicine, DNB - General Medicine, MBBS",18 Years Experience Overall  (11 years as specialist),Cardiologist,"Vijayanagar, Bangalore",100%,(87 votes),₹800
Dr. Sridhara G,"MBBS, DM - Cardiology",25 Years Experience Overall  (17 years as specialist),Cardiologist,"Old Airport Road, Bangalore",90%,(21 votes),₹900
Dr. Ramesh S S,"MBBS, MD - General Medicine, DM - Cardiology",48 Years Experience Overall  (41 years as specialist),Cardiologist,"Malleswaram, Bangalore",0,0,₹500
Dr. Nagesh H E,"MBBS, MD - General Medicine, DNB - Cardiology",26 Years Experience Overall  (14 years as specialist),Cardiologist,"Malleswaram, Bangalore",100%,(25 votes),₹750
Dr. B.S. Chakrapani,"MBBS, DM - Cardiology, DNB - General Medicine",37 Years Experience Overall  (35 years as specialist),Cardiologist,"Old Airport Road, Bangalore",94%,(31 votes),₹900
Dr. Karthik Vasudevan,"MBBS, DNB - General Medicine, DM - Cardiology",18 Years Experience Overall,Cardiologist,"Yeshwanthpur, Bangalore",0,0,₹950
Dr. Lalchand Bandagi,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",19 Years Experience Overall  (9 years as specialist),Cardiologist,"Old Airport Road, Bangalore",0,0,₹900
Dr. Vithal.D.Bagi,"MBBS, MD - General Medicine, DM - Cardiology, DNB - Cardiology",7 Years Experience Overall,Cardiologist,"Bannerghatta Road, Bangalore",0,0,₹1000
Dr. Shashidhar,"MBBS, MD - General Medicine, DM - Cardiology",32 Years Experience Overall  (20 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",85%,(13 votes),₹900
Dr. Gnanadev N C,"MBBS, MD - General Medicine, DNB - Cardiology",20 Years Experience Overall  (3 years as specialist),Cardiologist,"Kengeri, Bangalore",0,0,₹800
Dr. Chandan Saurav Mahapatro,"MBBS, MD - General Medicine, DM - Cardiology",7 Years Experience Overall,Cardiologist,"Hebbal, Bangalore",0,0,₹1000
Dr. Srikanth K V,"MBBS, MD - General Medicine, DM - Cardiology",24 Years Experience Overall  (16 years as specialist),Cardiologist,"Hosur Road, Bangalore",97%,(89 votes),₹1000
Dr. Nagaraj Desai,"MBBS, MD - General Medicine, DM - Cardiology",47 Years Experience Overall  (40 years as specialist),Cardiologist,"Cunningham Road, Bangalore",100%,(11 votes),₹700
Dr. Vikram Kolhari,"MBBS, MD - General Medicine, DM - Cardiology",18 Years Experience Overall  (9 years as specialist),Cardiologist,"Seshadripuram, Bangalore",0,0,₹740
Dr. Raghunandan,"MBBS, DNB - General Medicine, DNB - Cardiology",27 Years Experience Overall  (10 years as specialist),Cardiologist,"Malleswaram, Bangalore",100%,(28 votes),₹750
Dr. P Ranganath Nayak,"MBBS, DM - Cardiology, DNB - General Medicine, MD - General Medicine",22 Years Experience Overall,Cardiologist,"Millers Road, Bangalore",100%,(18 votes),₹1000
Dr. Yeriswamy M.C,"DM - Cardiology, MBBS",17 Years Experience Overall  (15 years as specialist),Cardiologist,"Basavanagudi, Bangalore",0,0,₹300
Dr. Murali Krishna,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",23 Years Experience Overall  (16 years as specialist),Cardiologist,"Old Airport Road, Bangalore",0,0,₹900
Dr. P. Padmakumar,"MBBS, MD - General Medicine, DM - Cardiology",45 Years Experience Overall  (35 years as specialist),Cardiologist,"Old Airport Road, Bangalore",83%,(24 votes),₹900
Dr. Pavankumar Rasalkar,"MD - Medicine, DM - Cardiology, MBBS",13 Years Experience Overall  (6 years as specialist),Cardiologist,"Rajajinagar, Bangalore",99%,(225 votes),₹700
Dr. Arun B S,"MBBS, MD - General Medicine, DM - Cardiology",10 Years Experience Overall  (2 years as specialist),Cardiologist,"Electronics City, Bangalore",0,0,₹700
Dr. Rangaraja,"MBBS, MD - General Medicine, DM - Cardiology",35 Years Experience Overall  (27 years as specialist),Cardiologist,"Cunningham Road, Bangalore",86%,(21 votes),₹700
Dr. Anand Kumar M,"MBBS, MD - General Medicine, DM - Cardiology",17 Years Experience Overall  (5 years as specialist),Cardiologist,"Nagasandra, Bangalore",100%,(18 votes),₹600
Dr. Shilpa Jayaprakash,"MBBS, MD - General Medicine, DM - Cardiology",6 Years Experience Overall,Cardiologist,"JP Nagar 7 Phase, Bangalore",0,0,₹800
Dr. Rahul Patil,"MBBS, MD - General Medicine, DM - Cardiology",13 Years Experience Overall  (5 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",0,0,₹850
Dr. Charit Bhograj,"MD - General Medicine, DM - Cardiology, MBBS",20 Years Experience Overall  (13 years as specialist),Cardiologist,"Millers Road, Bangalore",92%,(13 votes),₹1000
Dr. Praveen Kumar,"MBBS, MD - General Medicine, DM - Cardiology",13 Years Experience Overall  (5 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",0,0,₹700
Dr. Divakar Bhat,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",32 Years Experience Overall  (22 years as specialist),Cardiologist,"JP Nagar, Bangalore",0,0,₹950
Dr. Prasanna Katti,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (10 years as specialist),Cardiologist,"Seshadripuram, Bangalore",0,0,₹740
Dr. Mohan Kumar H N,"MBBS, MD - General Medicine, DM - Cardiology",17 Years Experience Overall  (8 years as specialist),Cardiologist,"Sarjapur Road, Bangalore",0,0,₹900
Dr. Sandesh Prabhu,"MBBS, MD - General Medicine, DM - Cardiology",17 Years Experience Overall  (9 years as specialist),Cardiologist,"Kaggadasapura, Bangalore",99%,(83 votes),₹600
Dr. Mallesh Kariyappa,"DM - Cardiology, MD - Pediatrics, MBBS",25 Years Experience Overall  (9 years as specialist),Cardiologist,"Koramangala 5 Block, Bangalore",0,0,₹500
Dr. Dibyendu Majumdar,"MBBS, Diploma in Cardiology",22 Years Experience Overall,Cardiologist,"Sarjapur Road, Bangalore",64%,(25 votes),₹750
Dr. Satish L,"MBBS, MD - General Medicine, DM - Cardiology",16 Years Experience Overall  (6 years as specialist),Cardiologist,"Yeshwanthpur, Bangalore",98%,(83 votes),₹700
Dr. K H Srinivas,"MBBS, MD - General Medicine, DM - Cardiology",33 Years Experience Overall  (25 years as specialist),Cardiologist,"Seshadripuram, Bangalore",0,0,₹740
Dr. Girish Godbole,"MBBS, DNB - General Medicine, MRCP (UK), DNB - Cardiology",28 Years Experience Overall  (19 years as specialist),Cardiologist,"Millers Road, Bangalore",94%,(16 votes),₹1000
Dr. Sathwik Raj V A,"MBBS, MD - General Medicine, DM - Cardiology",10 Years Experience Overall  (4 years as specialist),Cardiologist,"Koramangala 5 Block, Bangalore",0,0,₹850
Dr. Vikranth Veeranna,"MBBS, MD - General Medicine, DM - Cardiology",20 Years Experience Overall  (16 years as specialist),Cardiologist,"Rajarajeshwarinagar, Bangalore",100%,(12 votes),₹800
Dr. Sunil Dwivedi,"MBBS, MD - General Medicine, Diploma in Cardiology",20 Years Experience Overall  (19 years as specialist),Cardiologist,"Millers Road, Bangalore",92%,(13 votes),₹1000
Dr. Rockey Katheria,"MBBS, MD - General Medicine, DM - Cardiology",6 Years Experience Overall  (3 years as specialist),Cardiologist,"Bellandur, Bangalore",0,0,₹650
Dr. Naveen.A.J,"MBBS, MD - General Medicine, DM - Cardiology",18 Years Experience Overall  (8 years as specialist),Cardiologist,"Vasanthnagar, Bangalore",0,0,₹700
Dr. Sudeep K N,"MBBS, MD - General Medicine, DM - Cardiology",12 Years Experience Overall  (8 years as specialist),Cardiologist,"Seshadripuram, Bangalore",0,0,₹500
Dr. Divya Marina Fernandes,"MBBS, MD - General Medicine, DNB - Cardiology",13 Years Experience Overall  (5 years as specialist),Cardiologist,"JP Nagar, Bangalore",0,0,₹950
Dr. Ameet Oswal,"MBBS, MD - General Medicine, DNB - Cardiology",10 Years Experience Overall  (3 years as specialist),Cardiologist,"Sampangiramnagar, Bangalore",0,0,₹700
Dr. Praneeth SuryaDevara,"MBBS, MD - General Medicine, DM - Cardiology",11 Years Experience Overall  (2 years as specialist),Cardiologist,"Kumaraswamy Layout, Bangalore",0,0,₹550
Dr. Santosh V Chikkodi,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Cardiology",9 Years Experience Overall  (3 years as specialist),Cardiologist,"Sampangiramnagar, Bangalore",0,0,₹800
Dr. Prashant Ramdas Wankhade,"MBBS, MD - General Medicine, DNB - Cardiology",4 Years Experience Overall,Cardiologist,"Kundalahalli, Bangalore",0,0,₹800
Dr. Jagadeesh H V,"MBBS, MD - General Medicine, DM - Cardiology",6 Years Experience Overall  (2 years as specialist),Cardiologist,"Mahadevapura, Bangalore",0,0,₹800
Dr. Abhay Somani,"MBBS, DNB - Cardiology, DNB - General Medicine, MD - General Medicine",23 Years Experience Overall  (11 years as specialist),Cardiologist,"Kothrud, Pune",90%,(92 votes),₹800
Dr. Dnyanesh Gaware,"MBBS, MD - General Medicine, DNB - Cardiology",37 Years Experience Overall  (11 years as specialist),Cardiologist,"Kalyani Nagar, Pune",95%,(156 votes),₹1000
Dr. Abhijeet Joshi,"MBBS, MD - General Medicine, DNB - Cardiology",32 Years Experience Overall  (19 years as specialist),Cardiologist,"Shivajinagar, Pune",99%,(533 votes),₹1000
Dr. Abhay Khode,"MBBS, MD - Medicine, DNB - Cardiology",27 Years Experience Overall  (11 years as specialist),Cardiologist,"Baner, Pune",97%,(64 votes),₹800
Dr. Manohar Sakhare,"MBBS, DM - Cardiology, MD - General Medicine",25 Years Experience Overall  (17 years as specialist),Cardiologist,"Viman Nagar, Pune",96%,(103 votes),₹1000
Dr. Sandeep J Kadam,"DNB - Cardiology, DNB - General Medicine, MBBS",15 Years Experience Overall  (5 years as specialist),Cardiologist,"Baner, Pune",97%,(62 votes),₹900
Dr. Kartik Bhosale,"DM - Cardiology, MBBS, MD - General Medicine",9 Years Experience Overall  (2 years as specialist),Cardiologist,"Wakad, Pune",0,0,₹700
Dr. Kanhaiya Jeswani,"MBBS, MD - General Medicine, DNB - Cardiology",25 Years Experience Overall  (12 years as specialist),Cardiologist,"Hadapsar, Pune",100%,(27 votes),₹600
Dr. Sachin Hundekari,"MBBS, MD - General Medicine, DNB - Cardiology",22 Years Experience Overall  (12 years as specialist),Cardiologist,"Wakad, Pune",90%,(67 votes),₹700
Dr. Varun Nivargi,"MBBS, DNB - General Medicine, DNB - Cardiology",13 Years Experience Overall  (5 years as specialist),Cardiologist,"Kothrud, Pune",0,0,₹700
Dr. Yuvaraj Bhosale,"MBBS, MD - General Medicine, DM - Cardiology",17 Years Experience Overall  (8 years as specialist),Cardiologist,"Baner, Pune",0,0,₹700
Dr. Suraj Subhash Ingole,"MBBS, DNB - General Medicine, DNB - Cardiology",14 Years Experience Overall  (3 years as specialist),Cardiologist,"Kharadi, Pune",0,0,₹750
Dr. Pramod Narkhede,"DNB - General Medicine, MBBS, DNB - Cardiology",18 Years Experience Overall  (7 years as specialist),Cardiologist,"Viman Nagar, Pune",93%,(15 votes),₹700
Dr. Sandeep Tadas,"MCh - Cardio Thoracic and Vascular Surgery, MS - General Surgery, MBBS",28 Years Experience Overall  (21 years as specialist),Cardiologist,"Deccan Gymkhana, Pune",0,0,₹1000
Dr. Bhushan Bari,"MBBS, DNB - General Medicine, DNB - Cardiology",19 Years Experience Overall  (4 years as specialist),Cardiologist,"Wanowrie, Pune",0,0,₹700
Dr. Ajitkumar Jadhav,"DNB - Cardiology, MD - General Medicine, MBBS",14 Years Experience Overall  (6 years as specialist),Cardiologist,"Pimple Saudagar, Pune",88%,(26 votes),₹700
Dr. Priya Palimkar,"MBBS, MD - Medicine, DNB - Cardiology",25 Years Experience Overall  (15 years as specialist),Cardiologist,"Nagar Road, Pune",94%,(585 votes),₹1000
Dr. Ashish Dolas,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",19 Years Experience Overall  (9 years as specialist),Cardiologist,"Pimpri-Chinchwad, Pune",0,0,₹650
Dr. Jagjeet Deshmukh,"DM - Cardiology, MBBS",12 Years Experience Overall  (10 years as specialist),Cardiologist,"Hadapsar, Pune",0,0,₹700
Dr. Abhijit Khadtare,"MBBS, MD - General Medicine, DNB - Cardiology",10 Years Experience Overall  (6 years as specialist),Cardiologist,"Kharadi, Pune",0,0,₹750
Dr. Vikas Chopra,"MBBS, DM - Cardiology",26 Years Experience Overall,Cardiologist,"Green Park, Delhi",90%,(41 votes),₹750
Dr. Rajesh Madan,"MBBS, MD - General Medicine, DNB - Cardiology, Fellowship In Interventional  Cardiology",17 Years Experience Overall  (16 years as specialist),Cardiologist,"Dwarka, Delhi",88%,(176 votes),₹700
Dr. Ajay Aggarwal,"MBBS, MD - Medicine, DM - Cardiology",21 Years Experience Overall  (11 years as specialist),Cardiologist,"Ashok Vihar, Delhi",88%,(33 votes),₹800
Dr. Rajeev Kumar Rajput,"MBBS, MD - General Medicine, DM - Cardiology",34 Years Experience Overall  (28 years as specialist),Cardiologist,"New Friends Colony, Delhi",80%,(20 votes),₹1500
Dr. Rajni Sharma,"MBBS, MD - Medicine, DM - Cardiology, FACC",20 Years Experience Overall  (8 years as specialist),Cardiologist,"Patel Nagar, Delhi",86%,(14 votes),₹1200
Dr. Bipin Dubey,"MBBS, MD - Medicine, DM - Cardiology",36 Years Experience Overall  (23 years as specialist),Cardiologist,"Dwarka Sector 6, Delhi",83%,(24 votes),₹1100
Dr. S S Murthy,"MBBS, DNB - General Medicine, DNB - Cardiology",25 Years Experience Overall  (10 years as specialist),Cardiologist,"Dwarka Sector 12, Delhi",0,0,₹1200
Dr. Rajendra Kumar Agarwal,"MBBS, MD - General Medicine, DNB - Cardiology, FNB - Interventional  Cardiology",23 Years Experience Overall  (11 years as specialist),Cardiologist,"Panchsheel Park, Delhi",0,0,₹1000
Dr. Samanjoy Mukherjee,"MBBS, MD - General Medicine, DM - Cardiology",31 Years Experience Overall  (21 years as specialist),Cardiologist,"Dwarka Sector 6, Delhi",0,0,₹1100
Dr. Sarita Gulati,"MBBS, DM - Cardiology",30 Years Experience Overall  (21 years as specialist),Cardiologist,"Dwarka Sector 6, Delhi",37%,(19 votes),₹1100
