Name,Speciality_of_doctor,Degree,Years_Of_Experience,Location,City,dp_score(percentage),npv,consultation_fee
Dr. Prasanna Katti,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,Seshadripuram, Bangalore,0,0,740
Dr. Mohan Kumar H N,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",17,Sarjapur Road, Bangalore,0,0,900
Dr. Sandesh Prabhu,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",17,Kaggadasapura, Bangalore,99,83,600
Dr. Mallesh Kariyappa,Cardiologist,"DM - Cardiology, MD - Pediatrics, MBBS",25,Koramangala 5 Block, Bangalore,0,0,500
Dr. Dibyendu Majumdar,Cardiologist,"MBBS, Diploma in Cardiology",22,Sarjapur Road, Bangalore,64,25,750
Dr. Satish L,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",16,Yeshwanthpur, Bangalore,98,83,700
Dr. K H Srinivas,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",33,Seshadripuram, Bangalore,0,0,740
Dr. Girish Godbole,Cardiologist,"MBBS, DNB - General Medicine, MRCP (UK), DNB - Cardiology",28,Millers Road, Bangalore,94,16,1000
Dr. Sathwik Raj V A,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",10,Koramangala 5 Block, Bangalore,0,0,850
Dr. Vikranth Veeranna,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",20,Rajarajeshwarinagar, Bangalore,100,12,800
Dr. Sunil Dwivedi,Cardiologist,"MBBS, MD - General Medicine, Diploma in Cardiology",20,Millers Road, Bangalore,92,13,1000
Dr. Rockey Katheria,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",6,Bellandur, Bangalore,0,0,650
Dr. Naveen.A.J,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",18,Vasanthnagar, Bangalore,0,0,700
Dr. Sudeep K N,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",12,Seshadripuram, Bangalore,0,0,500
Dr. Divya Marina Fernandes,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",13,JP Nagar, Bangalore,0,0,950
Dr. Ameet Oswal,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",10,Sampangiramnagar, Bangalore,0,0,700
Dr. Praneeth SuryaDevara,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",11,Kumaraswamy Layout, Bangalore,0,0,550
Dr. Santosh V Chikkodi,Cardiologist,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Cardiology",9,Sampangiramnagar, Bangalore,0,0,800
Dr. Prashant Ramdas Wankhade,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",4,Kundalahalli, Bangalore,0,0,800
Dr. Jagadeesh H V,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",6,Mahadevapura, Bangalore,0,0,800
Dr. Abhay Somani,Cardiologist,"MBBS, DNB - Cardiology, DNB - General Medicine, MD - General Medicine",23,Kothrud, Pune,90,92,800
Dr. Dnyanesh Gaware,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",37,Kalyani Nagar, Pune,95,156,1000
Dr. Abhijeet Joshi,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",32,Shivajinagar, Pune,99,533,1000
Dr. Abhay Khode,Cardiologist,"MBBS, MD - Medicine, DNB - Cardiology",27,Baner, Pune,97,64,800
Dr. Manohar Sakhare,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine",25,Viman Nagar, Pune,96,103,1000
Dr. Sandeep J Kadam,Cardiologist,"DNB - Cardiology, DNB - General Medicine, MBBS",15,Baner, Pune,97,62,900
Dr. Kartik Bhosale,Cardiologist,"DM - Cardiology, MBBS, MD - General Medicine",9,Wakad, Pune,0,0,700
Dr. Kanhaiya Jeswani,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",25,Hadapsar, Pune,100,27,600
Dr. Sachin Hundekari,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",22,Wakad, Pune,90,67,700
Dr. Varun Nivargi,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",13,Kothrud, Pune,0,0,700
Dr. Yuvaraj Bhosale,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",17,Baner, Pune,0,0,700
Dr. Suraj Subhash Ingole,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",14,Kharadi, Pune,0,0,750
Dr. Pramod Narkhede,Cardiologist,"DNB - General Medicine, MBBS, DNB - Cardiology",18,Viman Nagar, Pune,93,15,700
Dr. Sandeep Tadas,Cardiologist,"MCh - Cardio Thoracic and Vascular Surgery, MS - General Surgery, MBBS",28,Deccan Gymkhana, Pune,0,0,1000
Dr. Bhushan Bari,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",19,Wanowrie, Pune,0,0,700
Dr. Ajitkumar Jadhav,Cardiologist,"DNB - Cardiology, MD - General Medicine, MBBS",14,Pimple Saudagar, Pune,88,26,700
Dr. Priya Palimkar,Cardiologist,"MBBS, MD - Medicine, DNB - Cardiology",25,Nagar Road, Pune,94,585,1000
Dr. Ashish Dolas,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",19,Pimpri-Chinchwad, Pune,0,0,650
Dr. Jagjeet Deshmukh,Cardiologist,"DM - Cardiology, MBBS",12,Hadapsar, Pune,0,0,700
Dr. Abhijit Khadtare,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",10,Kharadi, Pune,0,0,750
Dr. Vikas Chopra,Cardiologist,"MBBS, DM - Cardiology",26,Green Park, Delhi,90,41,750
Dr. Rajesh Madan,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology, Fellowship In Interventional  Cardiology",17,Dwarka, Delhi,88,176,700
Dr. Ajay Aggarwal,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",21,Ashok Vihar, Delhi,88,33,800
Dr. Rajeev Kumar Rajput,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",34,New Friends Colony, Delhi,80,20,1500
Dr. Rajni Sharma,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology, FACC",20,Patel Nagar, Delhi,86,14,1200
Dr. Bipin Dubey,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",36,Dwarka Sector 6, Delhi,83,24,1100
Dr. S S Murthy,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",25,Dwarka Sector 12, Delhi,0,0,1200
Dr. Rajendra Kumar Agarwal,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology, FNB - Interventional  Cardiology",23,Panchsheel Park, Delhi,0,0,1000
Dr. Samanjoy Mukherjee,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",31,Dwarka Sector 6, Delhi,0,0,1100
Dr. Sarita Gulati,Cardiologist,"MBBS, DM - Cardiology",30,Dwarka Sector 6, Delhi,37,19,1100
Dr. Devendra Kumar Agrawal,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",14,Shalimar Bagh, Delhi,0,0,1000
Dr. Sameer Mehrotra,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine",22,Pusa Road, Delhi,98,40,1500
Dr. Neeraj Bhalla,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology, FACC",39,Pusa Road, Delhi,95,21,1800
Dr. Nityanand Tripathi,Cardiologist,"MBBS, DNB - General Medicine, DM - Cardiology",30,Shalimar Bagh, Delhi,87,38,1200
Dr. S K Gupta,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, DNB - Cardiology",39,Sarita Vihar, Delhi,0,0,1400
Dr. Ranjan Kachru,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",39,Vasant Kunj, Delhi,96,24,1000
Dr. Amit Mittal,Cardiologist,"MD - Medicine, DM - Cardiology, MBBS",23,Sarita Vihar, Delhi,99,146,2500
Dr. Tapan Ghose,Cardiologist,"MBBS, MD - Medicine, DNB - Cardiology, DNB - General Medicine, FNB - Interventional  Cardiology",33,Vasant Kunj, Delhi,82,11,1200
Dr. Saket Bhardwaj,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",37,Pusa Road, Delhi,94,36,1500
Dr. Pradeep Jain,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine",39,Sarita Vihar, Delhi,0,0,2000
Dr. Subhash Chandra,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology, DM - Cardiology",38,Pusa Road, Delhi,0,0,2000
Dr. V Hariharan,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",51,Sarita Vihar, Delhi,0,0,2500
Dr. Ashish Agarwal,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",18,Dwarka, Delhi,98,436,700
Dr. Naresh Kumar Goyal,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",19,Shalimar Bagh, Delhi,100,13,1800
Dr. Sunil Modi,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",46,Sarita Vihar, Delhi,0,0,1800
Dr. Vivek Gupta,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",34,Sarita Vihar, Delhi,71,14,2500
Dr. Vanita Arora,Cardiologist,"MBBS, MD - Medicine, DNB - Cardiology",27,Sarita Vihar, Delhi,0,0,2500
Dr. Satbir Singh,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",23,Rajouri Garden, Delhi,98,181,1000
Dr. Arif Wahab,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",17,Sarita Vihar, Delhi,0,0,2000
Dr. Akhilesh Shrivastava,Cardiologist,"MBBS, Diploma in Cardiology",39,Panchsheel Park, Delhi,0,0,1200
Dr. Prashanta Kumar Ghosh,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",48,Sarita Vihar, Delhi,0,0,1500
Dr. Raman Puri,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",45,Sarita Vihar, Delhi,0,0,1500
Dr. Amar Parihar,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",31,Lajpat Nagar, Delhi,0,0,1000
Dr. K K Saxena,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",42,Sarita Vihar, Delhi,0,0,2500
Dr. Rajiv Mehrotra,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine",37,Sarita Vihar, Delhi,0,0,1500
Dr. Prof Narendra Nath Khanna,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",20,Sarita Vihar, Delhi,0,0,2500
Dr. Arvind Das,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",23,Panchsheel Park, Delhi,97,32,1750
Dr. Naveen Bhamri,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",23,Shalimar Bagh, Delhi,98,108,1500
Dr. Chandrashekhar,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, FACC",18,Shalimar Bagh, Delhi,86,22,1200
Dr. Rashi Khare,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",16,Shalimar Bagh, Delhi,0,0,800
Dr. Umesh Gupta,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",51,Greater Kailash Part 1, Delhi,100,69,2000
Dr. Sameer Gupta,Cardiologist,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine), Diplomate in Cardiovascular Disease, Diplomate in Interventional Cardiology, Diplomate, American Board of Endovascular Medicine ",19,Greater Kailash Part 1, Delhi,100,25,2000
Dr. Nishith Chandra,Cardiologist,"MBBS, DM - Cardiology, MD - Pediatrics",28,Okhla, Delhi,98,1478,1500
Dr. Aparna Jaswal,Cardiologist,"MBBS, MD - Medicine, DNB - Cardiology",27,Okhla, Delhi,98,406,1500
Dr. Anil Saxena,Cardiologist,"MBBS, MD - Medicine, DNB - Cardiology",40,Okhla, Delhi,0,0,1500
Dr. Peeyush Jain,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",43,Okhla, Delhi,0,0,1500
Dr. Ashok K Omar,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",39,Okhla, Delhi,0,0,1500
Dr. Atul Mathur,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",38,Okhla, Delhi,95,19,1500
Dr. Vineet Malik,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",20,Pitampura, Delhi,88,17,1200
Dr. Ripen Gupta,Cardiologist,"MBBS, MD - Medicine, FNB - Interventional  Cardiology, DM - Cardiology",24,Saket, Delhi,0,0,1200
Dr. Vineet Bhatia,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",27,Patparganj, Delhi,0,0,1200
Dr. Sudhansu Sekhar Parida,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",17,Shalimar Bagh, Delhi,95,20,800
Dr. Suman Bhandari,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",45,Okhla, Delhi,79,14,1500
Dr. Viney Jetley,Cardiologist,"MBBS, MD - General Medicine, DNB - General Medicine, DNB - Cardiology",29,Okhla, Delhi,100,12,1500
Dr. Praveer Aggarwal,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",35,Okhla, Delhi,96,26,1500
Dr. Parneesh Arora,Cardiologist,"MBBS, MD - Medicine, DNB - Cardiology, DM - Cardiology",31,Patparganj, Delhi,100,95,1200
Dr. Arvind Dambalkar,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",12,Greater Kailash Part 1, Delhi,0,0,1200
Dr. Vijay Kumar,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",30,Okhla, Delhi,0,0,1500
Dr. S Radha Krishnan,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",42,Okhla, Delhi,0,0,1500
Dr. Rajiv Agarwal,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology, Fellowship In Interventional  Cardiology",32,Saket, Delhi,0,0,1200
Dr. Nishant Tyagi,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",12,Patparganj, Delhi,95,58,800
Dr. Ashok Khera,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",40,Okhla, Delhi,0,0,1500
Dr. Vinay Kumar Bahl,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",45,Patparganj, Delhi,0,0,1200
Dr. Viveka Kumar,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS",29,Saket, Delhi,0,0,1200
Dr. Ashok Seth,Cardiologist,"MBBS, Fellow of the Royal College of Physicians of Canada (FRCP Canada), FACC",36,Okhla, Delhi,90,29,3000
Dr. Anil Bhatt,Cardiologist,"DM - Cardiology, MD - Medicine, MBBS",44,Patparganj, Delhi,0,0,1200
Dr. Manoj Kumar,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",32,Patparganj, Delhi,0,0,1200
Dr. Vishal Rastogi,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",25,Okhla, Delhi,0,0,1500
Dr. Vivudh Pratap Singh,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,Okhla, Delhi,0,0,1500
Dr. Asha Mahilmaran,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",32,Tondiarpet, Chennai,0,0,400
Dr. I Sathyamurthy,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",50,Alwarpet, Chennai,90,21,1000
Dr. B. Madan Mohan,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",29,Adyar, Chennai,95,392,800
Dr. Sandhya S,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",13,Anna Nagar, Chennai,0,0,500
Dr. Anantharaman Rajaram,Cardiologist,"MBBS, MRCP (UK), CCT - Cardiology",27,Mogappair, Chennai,100,30,750
Dr. Rudrappa,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",24,Adyar, Chennai,0,0,500
Dr. Harikrishnan Parthasarathy,Cardiologist,"MBBS, MD - General Medicine, MRCP (UK), CCT - Cardiology",26,Vanagaram, Chennai,99,299,800
Dr. Sanjai P V,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",12,Vadapalani, Chennai,0,0,1000
Dr. Anand Gnanaraj,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",30,Vanagaram, Chennai,0,0,800
Dr. Cecily Mary Majella,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",26,Alwarpet, Chennai,0,0,1000
Dr. Premkumar K J,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",20,Vanagaram, Chennai,0,0,800
Dr. Bharath Kumar. G,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",16,Perumbakkam, Chennai,0,0,800
Dr. Gobu,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",22,Perumbakkam, Chennai,0,0,800
Dr. Karthick Anjaneyan,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",18,Perumbakkam, Chennai,0,0,800
Dr. Pradeep Gopinath Nayar,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",38,Adyar, Chennai,0,0,500
Dr. Prof Guru Prasad Sogunuru,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",26,Anna Nagar East, Chennai,89,36,700
Dr. G. Manohar,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine",33,Adyar, Chennai,0,0,500
Dr. Susan George,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",29,Perumbakkam, Chennai,0,0,800
Dr. Gopal Murugesan,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",25,Manapakkam, Chennai,0,0,800
Dr. D Prabhakar,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine",32,Kilpauk, Chennai,94,90,700
Dr. Jyotirmaya Dash,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",24,Vadapalani, Chennai,100,93,500
Dr. Abraham Oomman,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, DNB - Cardiology",31,Tondiarpet, Chennai,0,0,350
Dr. Babu Ezhumalai,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, FNB - Interventional  Cardiology",18,Adyar, Chennai,0,0,1000
Dr. Refai Showkathali,Cardiologist,"MBBS, MRCP (UK), CCT - Cardiology",23,Greams Road, Chennai,100,22,1000
Dr. Prasad G N,Cardiologist,"MBBS, DNB - Cardiology, MD - General Medicine",32,Vadapalani, Chennai,100,13,1000
Dr. Y Vijayachandra Reddy,Cardiologist,"MBBS, DNB - General Medicine, DM - Cardiology",28,Greams Road, Chennai,100,12,1000
Dr. Sai Satish,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",25,Greams Road, Chennai,0,0,1000
Dr. Pramod Kumar Jaiswal,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",35,Vadapalani, Chennai,100,23,1000
Dr. Asha Vidhyasekaran,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS",32,Kilpauk, Chennai,0,0,500
Dr. Avinash Jayachandran,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",10,Alwarpet, Chennai,0,0,700
Dr. Ramakrishnan.G,Cardiologist,"MBBS, DNB - General Surgery, MCh - Cardio Thoracic Surgery",25,Vanagaram, Chennai,0,0,800
Dr. A.M. Karthigesan,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology, DNB - General Medicine",25,Greams Road, Chennai,0,0,1500
Dr. Deepesh Venkatraman,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine",15,Greams Road, Chennai,100,11,1000
Dr. Sengottu Velu,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology, DM - Cardiology",30,Greams Road, Chennai,0,0,1500
Dr. Robert Mao,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",40,Greams Road, Chennai,94,18,1500
Dr. Shanmugasundaram D,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",26,OMR Road, Chennai,100,14,700
Dr. S Aravind,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",8,Vanagaram, Chennai,0,0,550
Dr. K Jayanthi,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",36,Vadapalani, Chennai,0,0,1000
Dr. Narendra Kumar V,Cardiologist,"MBBS, DM - Cardiology, MD - Pediatrics",21,Chromepet, Chennai,100,31,800
Dr. Govini Balasubramanian,Cardiologist,"MS - General Surgery, MBBS, MCh - Cardio Thoracic Surgery",21,Vadapalani, Chennai,0,0,1000
Dr. Ganesh. T,Cardiologist,"DM - Cardiology, MBBS",15,Kodambakkam, Chennai,0,0,500
Dr. A.L. Narayanan,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS",34,Aminjikarai, Chennai,100,11,800
Dr. Nishanth S,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",11,Alwarthirunagar, Chennai,95,21,600
Dr. Arul E D,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",21,OMR Road, Chennai,91,11,700
Dr. Madhu Prabhu Doss,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",22,OMR Road, Chennai,0,0,700
Dr. M Seetha,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",16,T Nagar, Chennai,96,23,1300
Dr. Rajeshwari Nayak,Cardiologist,"MBBS, DNB - Cardiology, DNB - General Medicine",25,Greams Road, Chennai,0,0,1000
Dr. Kirubakaran,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",20,Kilpauk, Chennai,0,0,800
Dr. Kanthallu Srinivasan,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",27,Greams Road, Chennai,0,0,1500
Dr. Srichandran L,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,Aminjikarai, Chennai,0,0,800
Dr. Arun Kalyanasundaram,Cardiologist,"MBBS, Diplomate in Cardiovascular Disease, Diplomate in Interventional Cardiology",22,Kottivakkam, Chennai,0,0,1500
Dr. Siva Muthukumar,Cardiologist,"MBBS, MCh - Cardio Thoracic Surgery, DNB - General Surgery, DNB - Cardiothoracic Surgery, MS - General Surgery",24,OMR Road, Chennai,0,0,700
Dr. Ravi Kumar,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS",33,Aminjikarai, Chennai,0,0,800
Dr. T S Srinath,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",26,Vadapalani, Chennai,0,0,1000
Dr. M Kathiresan,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",24,OMR Road, Chennai,0,0,700
Dr. Ramya Shri,Cardiologist,"MBBS, MD - Pediatrics, DM - Cardiology",20,Aminjikarai, Chennai,0,0,800
Dr. Musthafa Janeel,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",19,Thousand Lights, Chennai,0,0,1000
Dr. Ashok Kumar Aringondam,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",12,Chromepet, Chennai,0,0,800
Dr. Vivekan M,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",14,Aminjikarai, Chennai,0,0,500
Dr. Surinder Hansra,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",23,Kandivali East, Mumbai,95,98,1000
Dr. Ashish Agrawal,Cardiologist,"DM - Cardiology, MD - Medicine, MBBS",19,Mulund West, Mumbai,97,359,1500
Dr. C. B. Munjewar,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",16,Ghatkopar, Mumbai,97,32,1500
Dr. Nitesh B. Karnire,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine, Fellowship In Interventional  Cardiology",13,Bandra East, Mumbai,0,0,1000
Dr. Aditya Dhawale,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",13,Ghatkopar West, Mumbai,0,0,1000
Dr. Kunal Praful Sinkar,Cardiologist,"MBBS, DNB - Cardiology, DNB - General Medicine",5,Dadar West, Mumbai,0,0,1500
Dr. Shoaib Padaria Fakhruddin,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",40,Tardeo, Mumbai,82,17,1500
Dr. Ganesh Kumar A.V,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology",20,Powai, Mumbai,0,0,2600
Dr. Suresh Vijan,Cardiologist,"MD - Medicine,  FRCP, FACC",31,Mulund West, Mumbai,0,0,1500
Dr. Hasmukh Ravat,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology",40,Mulund West, Mumbai,0,0,1500
Dr. Snehal Kothari,Cardiologist,"DM - Cardiology, DNB - Cardiology, MD - Medicine, FACC, Fellowship In Interventional  Cardiology",21,Mahim, Mumbai,99,179,1800
Dr. Swati Garekar,Cardiologist,"MBBS, Diplomater, American Board of Cardiology",26,Mulund West, Mumbai,0,0,1500
Dr. Harin Vyas,Cardiologist,"MBBS, MRCP (UK), CCT - Cardiology",16,Mulund West, Mumbai,0,0,2000
Dr. Irfan Khan,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",19,Powai, Mumbai,100,12,2600
Dr. Chetan Bhambure,Cardiologist,"MBBS, MD - Medicine, DNB - Cardiology",25,Mira Road, Mumbai,0,0,1000
Dr. Rushikesh Patil,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology",18,Powai, Mumbai,0,0,2600
